issuerCik,issuerName,issuerTicker,ownerName,ownerCik,isDirector,isOfficer,officerTitle,isTenPctOwner,securityTitle,transactionDate,transactionCode,acqDisp,shares,pricePerShare,strikeOrExercisePrice,derivativeFlag,footnoteIds,footnotesText,companyFromIndex,cikFromIndex,filedDateFromIndex,accessionFolder,xmlUrl
0001841156,"Paymentus Holdings, Inc.",PAY,"Accel-KKR Holdings GP, LLC",0001863465,true,false,,true,Class B Common Stock,2025-08-20,J,D,3602968,0,,Y,"F1,F2,F3,F4,F5","Class B Common Stock is convertible at any time, at the holder's election and automatically in connection with certain transfers and upon certain other events, into an equal number of shares of Class A Common Stock and has no expiration date.; In-kind pro rata distribution from the Reporting Person to its partners, without consideration.; Accel-KKR Holdings GP, LLC , or Topco GP (for which decision making is controlled by Mr. Palumbo and Mr. Barnds), has voting and investment power over the shares of Common Stock of the Issuer owned by (i) Accel-KKR Capital Partners CV III, LP, or CV III; (ii) Accel-KKR Growth Capital Partners III, LP, or GC III; (iii) Accel-KKR Growth Capital Partners II Strategic Fund, LP, or GC II Strategic; (iv) Accel-KKR Growth Capital Partners II, LP, or GC II; (v) (v) Accel-KKR Members Fund, LLC, or Members Fund; (vi) AKKR Strategic Capital LP, or SC; and (vii) AKKR SC GPI HoldCo LP, or SC GPI.; (Continued from footnote 3) AKKR Fund III Management Company CV, LP, or CV III GP, is the sole general partner of CV III. AKKR Growth Capital Management Company III, LP, or GC III GP, is the sole general partner of GC III. AKKR Growth Capital Management Company II, LP, or GC II GP, is the sole general partner of GC II Strategic and GC II. AKKR Strategic Capital GP, or SC GP, is the sole general partner of SC. AKKR Management Company, LLC, or UGP, is the sole managing member of Members Fund and the sole general partner of CV III GP, GC III GP, GC II GP, SC GP and SC GPI. Topco GP, is the sole managing member of UGP. AKKR Fund II Management Company, LP,; (Continued from footnote 4) or the Management Company, is the sole management company of each of the Accel-KKR Funds, and UGP is the general partner of the Management Company. Each of the Reporting Persons disclaims beneficial ownership of the reported securities except to the extent of such Reporting Person's pecuniary interest therein. Mr. Palumbo and Mr. Barnds have separately filed Form 4s reporting their interests.","ACCEL-KKR CAPITAL PARTNERS CV III, LP",1781975,2025082,https://www.sec.gov/Archives/edgar/data/1781975/000095017025111051/,https://www.sec.gov/Archives/edgar/data/1781975/000095017025111051/ownership.xml
0001841156,"Paymentus Holdings, Inc.",PAY,"ACCEL-KKR CAPITAL PARTNERS CV III, LP",0001781975,false,false,,true,Class B Common Stock,2025-08-20,J,D,3602968,0,,Y,"F1,F2,F3,F4,F5","Class B Common Stock is convertible at any time, at the holder's election and automatically in connection with certain transfers and upon certain other events, into an equal number of shares of Class A Common Stock and has no expiration date.; In-kind pro rata distribution from the Reporting Person to its partners, without consideration.; Accel-KKR Holdings GP, LLC , or Topco GP (for which decision making is controlled by Mr. Palumbo and Mr. Barnds), has voting and investment power over the shares of Common Stock of the Issuer owned by (i) Accel-KKR Capital Partners CV III, LP, or CV III; (ii) Accel-KKR Growth Capital Partners III, LP, or GC III; (iii) Accel-KKR Growth Capital Partners II Strategic Fund, LP, or GC II Strategic; (iv) Accel-KKR Growth Capital Partners II, LP, or GC II; (v) (v) Accel-KKR Members Fund, LLC, or Members Fund; (vi) AKKR Strategic Capital LP, or SC; and (vii) AKKR SC GPI HoldCo LP, or SC GPI.; (Continued from footnote 3) AKKR Fund III Management Company CV, LP, or CV III GP, is the sole general partner of CV III. AKKR Growth Capital Management Company III, LP, or GC III GP, is the sole general partner of GC III. AKKR Growth Capital Management Company II, LP, or GC II GP, is the sole general partner of GC II Strategic and GC II. AKKR Strategic Capital GP, or SC GP, is the sole general partner of SC. AKKR Management Company, LLC, or UGP, is the sole managing member of Members Fund and the sole general partner of CV III GP, GC III GP, GC II GP, SC GP and SC GPI. Topco GP, is the sole managing member of UGP. AKKR Fund II Management Company, LP,; (Continued from footnote 4) or the Management Company, is the sole management company of each of the Accel-KKR Funds, and UGP is the general partner of the Management Company. Each of the Reporting Persons disclaims beneficial ownership of the reported securities except to the extent of such Reporting Person's pecuniary interest therein. Mr. Palumbo and Mr. Barnds have separately filed Form 4s reporting their interests.","ACCEL-KKR CAPITAL PARTNERS CV III, LP",1781975,2025082,https://www.sec.gov/Archives/edgar/data/1781975/000095017025111051/,https://www.sec.gov/Archives/edgar/data/1781975/000095017025111051/ownership.xml
0001841156,"Paymentus Holdings, Inc.",PAY,"ACCEL-KKR GROWTH CAPITAL PARTNERS III, LP",0001747133,false,false,,true,Class B Common Stock,2025-08-20,J,D,3602968,0,,Y,"F1,F2,F3,F4,F5","Class B Common Stock is convertible at any time, at the holder's election and automatically in connection with certain transfers and upon certain other events, into an equal number of shares of Class A Common Stock and has no expiration date.; In-kind pro rata distribution from the Reporting Person to its partners, without consideration.; Accel-KKR Holdings GP, LLC , or Topco GP (for which decision making is controlled by Mr. Palumbo and Mr. Barnds), has voting and investment power over the shares of Common Stock of the Issuer owned by (i) Accel-KKR Capital Partners CV III, LP, or CV III; (ii) Accel-KKR Growth Capital Partners III, LP, or GC III; (iii) Accel-KKR Growth Capital Partners II Strategic Fund, LP, or GC II Strategic; (iv) Accel-KKR Growth Capital Partners II, LP, or GC II; (v) (v) Accel-KKR Members Fund, LLC, or Members Fund; (vi) AKKR Strategic Capital LP, or SC; and (vii) AKKR SC GPI HoldCo LP, or SC GPI.; (Continued from footnote 3) AKKR Fund III Management Company CV, LP, or CV III GP, is the sole general partner of CV III. AKKR Growth Capital Management Company III, LP, or GC III GP, is the sole general partner of GC III. AKKR Growth Capital Management Company II, LP, or GC II GP, is the sole general partner of GC II Strategic and GC II. AKKR Strategic Capital GP, or SC GP, is the sole general partner of SC. AKKR Management Company, LLC, or UGP, is the sole managing member of Members Fund and the sole general partner of CV III GP, GC III GP, GC II GP, SC GP and SC GPI. Topco GP, is the sole managing member of UGP. AKKR Fund II Management Company, LP,; (Continued from footnote 4) or the Management Company, is the sole management company of each of the Accel-KKR Funds, and UGP is the general partner of the Management Company. Each of the Reporting Persons disclaims beneficial ownership of the reported securities except to the extent of such Reporting Person's pecuniary interest therein. Mr. Palumbo and Mr. Barnds have separately filed Form 4s reporting their interests.","ACCEL-KKR CAPITAL PARTNERS CV III, LP",1781975,2025082,https://www.sec.gov/Archives/edgar/data/1781975/000095017025111051/,https://www.sec.gov/Archives/edgar/data/1781975/000095017025111051/ownership.xml
0001841156,"Paymentus Holdings, Inc.",PAY,"Accel-KKR Growth Capital Partners II Strategic Fund, LP",0001602533,false,false,,true,Class B Common Stock,2025-08-20,J,D,3602968,0,,Y,"F1,F2,F3,F4,F5","Class B Common Stock is convertible at any time, at the holder's election and automatically in connection with certain transfers and upon certain other events, into an equal number of shares of Class A Common Stock and has no expiration date.; In-kind pro rata distribution from the Reporting Person to its partners, without consideration.; Accel-KKR Holdings GP, LLC , or Topco GP (for which decision making is controlled by Mr. Palumbo and Mr. Barnds), has voting and investment power over the shares of Common Stock of the Issuer owned by (i) Accel-KKR Capital Partners CV III, LP, or CV III; (ii) Accel-KKR Growth Capital Partners III, LP, or GC III; (iii) Accel-KKR Growth Capital Partners II Strategic Fund, LP, or GC II Strategic; (iv) Accel-KKR Growth Capital Partners II, LP, or GC II; (v) (v) Accel-KKR Members Fund, LLC, or Members Fund; (vi) AKKR Strategic Capital LP, or SC; and (vii) AKKR SC GPI HoldCo LP, or SC GPI.; (Continued from footnote 3) AKKR Fund III Management Company CV, LP, or CV III GP, is the sole general partner of CV III. AKKR Growth Capital Management Company III, LP, or GC III GP, is the sole general partner of GC III. AKKR Growth Capital Management Company II, LP, or GC II GP, is the sole general partner of GC II Strategic and GC II. AKKR Strategic Capital GP, or SC GP, is the sole general partner of SC. AKKR Management Company, LLC, or UGP, is the sole managing member of Members Fund and the sole general partner of CV III GP, GC III GP, GC II GP, SC GP and SC GPI. Topco GP, is the sole managing member of UGP. AKKR Fund II Management Company, LP,; (Continued from footnote 4) or the Management Company, is the sole management company of each of the Accel-KKR Funds, and UGP is the general partner of the Management Company. Each of the Reporting Persons disclaims beneficial ownership of the reported securities except to the extent of such Reporting Person's pecuniary interest therein. Mr. Palumbo and Mr. Barnds have separately filed Form 4s reporting their interests.","ACCEL-KKR CAPITAL PARTNERS CV III, LP",1781975,2025082,https://www.sec.gov/Archives/edgar/data/1781975/000095017025111051/,https://www.sec.gov/Archives/edgar/data/1781975/000095017025111051/ownership.xml
0001841156,"Paymentus Holdings, Inc.",PAY,"Accel-KKR Growth Capital Partners II, LP",0001602532,false,false,,true,Class B Common Stock,2025-08-20,J,D,3602968,0,,Y,"F1,F2,F3,F4,F5","Class B Common Stock is convertible at any time, at the holder's election and automatically in connection with certain transfers and upon certain other events, into an equal number of shares of Class A Common Stock and has no expiration date.; In-kind pro rata distribution from the Reporting Person to its partners, without consideration.; Accel-KKR Holdings GP, LLC , or Topco GP (for which decision making is controlled by Mr. Palumbo and Mr. Barnds), has voting and investment power over the shares of Common Stock of the Issuer owned by (i) Accel-KKR Capital Partners CV III, LP, or CV III; (ii) Accel-KKR Growth Capital Partners III, LP, or GC III; (iii) Accel-KKR Growth Capital Partners II Strategic Fund, LP, or GC II Strategic; (iv) Accel-KKR Growth Capital Partners II, LP, or GC II; (v) (v) Accel-KKR Members Fund, LLC, or Members Fund; (vi) AKKR Strategic Capital LP, or SC; and (vii) AKKR SC GPI HoldCo LP, or SC GPI.; (Continued from footnote 3) AKKR Fund III Management Company CV, LP, or CV III GP, is the sole general partner of CV III. AKKR Growth Capital Management Company III, LP, or GC III GP, is the sole general partner of GC III. AKKR Growth Capital Management Company II, LP, or GC II GP, is the sole general partner of GC II Strategic and GC II. AKKR Strategic Capital GP, or SC GP, is the sole general partner of SC. AKKR Management Company, LLC, or UGP, is the sole managing member of Members Fund and the sole general partner of CV III GP, GC III GP, GC II GP, SC GP and SC GPI. Topco GP, is the sole managing member of UGP. AKKR Fund II Management Company, LP,; (Continued from footnote 4) or the Management Company, is the sole management company of each of the Accel-KKR Funds, and UGP is the general partner of the Management Company. Each of the Reporting Persons disclaims beneficial ownership of the reported securities except to the extent of such Reporting Person's pecuniary interest therein. Mr. Palumbo and Mr. Barnds have separately filed Form 4s reporting their interests.","ACCEL-KKR CAPITAL PARTNERS CV III, LP",1781975,2025082,https://www.sec.gov/Archives/edgar/data/1781975/000095017025111051/,https://www.sec.gov/Archives/edgar/data/1781975/000095017025111051/ownership.xml
0001841156,"Paymentus Holdings, Inc.",PAY,"Accel-KKR Members Fund, LLC",0001863461,false,false,,true,Class B Common Stock,2025-08-20,J,D,3602968,0,,Y,"F1,F2,F3,F4,F5","Class B Common Stock is convertible at any time, at the holder's election and automatically in connection with certain transfers and upon certain other events, into an equal number of shares of Class A Common Stock and has no expiration date.; In-kind pro rata distribution from the Reporting Person to its partners, without consideration.; Accel-KKR Holdings GP, LLC , or Topco GP (for which decision making is controlled by Mr. Palumbo and Mr. Barnds), has voting and investment power over the shares of Common Stock of the Issuer owned by (i) Accel-KKR Capital Partners CV III, LP, or CV III; (ii) Accel-KKR Growth Capital Partners III, LP, or GC III; (iii) Accel-KKR Growth Capital Partners II Strategic Fund, LP, or GC II Strategic; (iv) Accel-KKR Growth Capital Partners II, LP, or GC II; (v) (v) Accel-KKR Members Fund, LLC, or Members Fund; (vi) AKKR Strategic Capital LP, or SC; and (vii) AKKR SC GPI HoldCo LP, or SC GPI.; (Continued from footnote 3) AKKR Fund III Management Company CV, LP, or CV III GP, is the sole general partner of CV III. AKKR Growth Capital Management Company III, LP, or GC III GP, is the sole general partner of GC III. AKKR Growth Capital Management Company II, LP, or GC II GP, is the sole general partner of GC II Strategic and GC II. AKKR Strategic Capital GP, or SC GP, is the sole general partner of SC. AKKR Management Company, LLC, or UGP, is the sole managing member of Members Fund and the sole general partner of CV III GP, GC III GP, GC II GP, SC GP and SC GPI. Topco GP, is the sole managing member of UGP. AKKR Fund II Management Company, LP,; (Continued from footnote 4) or the Management Company, is the sole management company of each of the Accel-KKR Funds, and UGP is the general partner of the Management Company. Each of the Reporting Persons disclaims beneficial ownership of the reported securities except to the extent of such Reporting Person's pecuniary interest therein. Mr. Palumbo and Mr. Barnds have separately filed Form 4s reporting their interests.","ACCEL-KKR CAPITAL PARTNERS CV III, LP",1781975,2025082,https://www.sec.gov/Archives/edgar/data/1781975/000095017025111051/,https://www.sec.gov/Archives/edgar/data/1781975/000095017025111051/ownership.xml
0001841156,"Paymentus Holdings, Inc.",PAY,AKKR SC GPI HoldCo LP,0002047091,false,false,,true,Class B Common Stock,2025-08-20,J,D,3602968,0,,Y,"F1,F2,F3,F4,F5","Class B Common Stock is convertible at any time, at the holder's election and automatically in connection with certain transfers and upon certain other events, into an equal number of shares of Class A Common Stock and has no expiration date.; In-kind pro rata distribution from the Reporting Person to its partners, without consideration.; Accel-KKR Holdings GP, LLC , or Topco GP (for which decision making is controlled by Mr. Palumbo and Mr. Barnds), has voting and investment power over the shares of Common Stock of the Issuer owned by (i) Accel-KKR Capital Partners CV III, LP, or CV III; (ii) Accel-KKR Growth Capital Partners III, LP, or GC III; (iii) Accel-KKR Growth Capital Partners II Strategic Fund, LP, or GC II Strategic; (iv) Accel-KKR Growth Capital Partners II, LP, or GC II; (v) (v) Accel-KKR Members Fund, LLC, or Members Fund; (vi) AKKR Strategic Capital LP, or SC; and (vii) AKKR SC GPI HoldCo LP, or SC GPI.; (Continued from footnote 3) AKKR Fund III Management Company CV, LP, or CV III GP, is the sole general partner of CV III. AKKR Growth Capital Management Company III, LP, or GC III GP, is the sole general partner of GC III. AKKR Growth Capital Management Company II, LP, or GC II GP, is the sole general partner of GC II Strategic and GC II. AKKR Strategic Capital GP, or SC GP, is the sole general partner of SC. AKKR Management Company, LLC, or UGP, is the sole managing member of Members Fund and the sole general partner of CV III GP, GC III GP, GC II GP, SC GP and SC GPI. Topco GP, is the sole managing member of UGP. AKKR Fund II Management Company, LP,; (Continued from footnote 4) or the Management Company, is the sole management company of each of the Accel-KKR Funds, and UGP is the general partner of the Management Company. Each of the Reporting Persons disclaims beneficial ownership of the reported securities except to the extent of such Reporting Person's pecuniary interest therein. Mr. Palumbo and Mr. Barnds have separately filed Form 4s reporting their interests.","ACCEL-KKR CAPITAL PARTNERS CV III, LP",1781975,2025082,https://www.sec.gov/Archives/edgar/data/1781975/000095017025111051/,https://www.sec.gov/Archives/edgar/data/1781975/000095017025111051/ownership.xml
0001841156,"Paymentus Holdings, Inc.",PAY,AKKR STRATEGIC CAPITAL LP,0002032597,false,false,,true,Class B Common Stock,2025-08-20,J,D,3602968,0,,Y,"F1,F2,F3,F4,F5","Class B Common Stock is convertible at any time, at the holder's election and automatically in connection with certain transfers and upon certain other events, into an equal number of shares of Class A Common Stock and has no expiration date.; In-kind pro rata distribution from the Reporting Person to its partners, without consideration.; Accel-KKR Holdings GP, LLC , or Topco GP (for which decision making is controlled by Mr. Palumbo and Mr. Barnds), has voting and investment power over the shares of Common Stock of the Issuer owned by (i) Accel-KKR Capital Partners CV III, LP, or CV III; (ii) Accel-KKR Growth Capital Partners III, LP, or GC III; (iii) Accel-KKR Growth Capital Partners II Strategic Fund, LP, or GC II Strategic; (iv) Accel-KKR Growth Capital Partners II, LP, or GC II; (v) (v) Accel-KKR Members Fund, LLC, or Members Fund; (vi) AKKR Strategic Capital LP, or SC; and (vii) AKKR SC GPI HoldCo LP, or SC GPI.; (Continued from footnote 3) AKKR Fund III Management Company CV, LP, or CV III GP, is the sole general partner of CV III. AKKR Growth Capital Management Company III, LP, or GC III GP, is the sole general partner of GC III. AKKR Growth Capital Management Company II, LP, or GC II GP, is the sole general partner of GC II Strategic and GC II. AKKR Strategic Capital GP, or SC GP, is the sole general partner of SC. AKKR Management Company, LLC, or UGP, is the sole managing member of Members Fund and the sole general partner of CV III GP, GC III GP, GC II GP, SC GP and SC GPI. Topco GP, is the sole managing member of UGP. AKKR Fund II Management Company, LP,; (Continued from footnote 4) or the Management Company, is the sole management company of each of the Accel-KKR Funds, and UGP is the general partner of the Management Company. Each of the Reporting Persons disclaims beneficial ownership of the reported securities except to the extent of such Reporting Person's pecuniary interest therein. Mr. Palumbo and Mr. Barnds have separately filed Form 4s reporting their interests.","ACCEL-KKR CAPITAL PARTNERS CV III, LP",1781975,2025082,https://www.sec.gov/Archives/edgar/data/1781975/000095017025111051/,https://www.sec.gov/Archives/edgar/data/1781975/000095017025111051/ownership.xml
0001841156,"Paymentus Holdings, Inc.",PAY,"Accel-KKR Holdings GP, LLC",0001863465,true,false,,true,Class B Common Stock,2025-08-20,J,D,180352,0,,Y,"F1,F2,F3,F4,F5","Class B Common Stock is convertible at any time, at the holder's election and automatically in connection with certain transfers and upon certain other events, into an equal number of shares of Class A Common Stock and has no expiration date.; In-kind pro rata distribution from the Reporting Person to its partners, without consideration.; Accel-KKR Holdings GP, LLC , or Topco GP (for which decision making is controlled by Mr. Palumbo and Mr. Barnds), has voting and investment power over the shares of Common Stock of the Issuer owned by (i) Accel-KKR Capital Partners CV III, LP, or CV III; (ii) Accel-KKR Growth Capital Partners III, LP, or GC III; (iii) Accel-KKR Growth Capital Partners II Strategic Fund, LP, or GC II Strategic; (iv) Accel-KKR Growth Capital Partners II, LP, or GC II; (v) (v) Accel-KKR Members Fund, LLC, or Members Fund; (vi) AKKR Strategic Capital LP, or SC; and (vii) AKKR SC GPI HoldCo LP, or SC GPI.; (Continued from footnote 3) AKKR Fund III Management Company CV, LP, or CV III GP, is the sole general partner of CV III. AKKR Growth Capital Management Company III, LP, or GC III GP, is the sole general partner of GC III. AKKR Growth Capital Management Company II, LP, or GC II GP, is the sole general partner of GC II Strategic and GC II. AKKR Strategic Capital GP, or SC GP, is the sole general partner of SC. AKKR Management Company, LLC, or UGP, is the sole managing member of Members Fund and the sole general partner of CV III GP, GC III GP, GC II GP, SC GP and SC GPI. Topco GP, is the sole managing member of UGP. AKKR Fund II Management Company, LP,; (Continued from footnote 4) or the Management Company, is the sole management company of each of the Accel-KKR Funds, and UGP is the general partner of the Management Company. Each of the Reporting Persons disclaims beneficial ownership of the reported securities except to the extent of such Reporting Person's pecuniary interest therein. Mr. Palumbo and Mr. Barnds have separately filed Form 4s reporting their interests.","ACCEL-KKR CAPITAL PARTNERS CV III, LP",1781975,2025082,https://www.sec.gov/Archives/edgar/data/1781975/000095017025111051/,https://www.sec.gov/Archives/edgar/data/1781975/000095017025111051/ownership.xml
0001841156,"Paymentus Holdings, Inc.",PAY,"ACCEL-KKR CAPITAL PARTNERS CV III, LP",0001781975,false,false,,true,Class B Common Stock,2025-08-20,J,D,180352,0,,Y,"F1,F2,F3,F4,F5","Class B Common Stock is convertible at any time, at the holder's election and automatically in connection with certain transfers and upon certain other events, into an equal number of shares of Class A Common Stock and has no expiration date.; In-kind pro rata distribution from the Reporting Person to its partners, without consideration.; Accel-KKR Holdings GP, LLC , or Topco GP (for which decision making is controlled by Mr. Palumbo and Mr. Barnds), has voting and investment power over the shares of Common Stock of the Issuer owned by (i) Accel-KKR Capital Partners CV III, LP, or CV III; (ii) Accel-KKR Growth Capital Partners III, LP, or GC III; (iii) Accel-KKR Growth Capital Partners II Strategic Fund, LP, or GC II Strategic; (iv) Accel-KKR Growth Capital Partners II, LP, or GC II; (v) (v) Accel-KKR Members Fund, LLC, or Members Fund; (vi) AKKR Strategic Capital LP, or SC; and (vii) AKKR SC GPI HoldCo LP, or SC GPI.; (Continued from footnote 3) AKKR Fund III Management Company CV, LP, or CV III GP, is the sole general partner of CV III. AKKR Growth Capital Management Company III, LP, or GC III GP, is the sole general partner of GC III. AKKR Growth Capital Management Company II, LP, or GC II GP, is the sole general partner of GC II Strategic and GC II. AKKR Strategic Capital GP, or SC GP, is the sole general partner of SC. AKKR Management Company, LLC, or UGP, is the sole managing member of Members Fund and the sole general partner of CV III GP, GC III GP, GC II GP, SC GP and SC GPI. Topco GP, is the sole managing member of UGP. AKKR Fund II Management Company, LP,; (Continued from footnote 4) or the Management Company, is the sole management company of each of the Accel-KKR Funds, and UGP is the general partner of the Management Company. Each of the Reporting Persons disclaims beneficial ownership of the reported securities except to the extent of such Reporting Person's pecuniary interest therein. Mr. Palumbo and Mr. Barnds have separately filed Form 4s reporting their interests.","ACCEL-KKR CAPITAL PARTNERS CV III, LP",1781975,2025082,https://www.sec.gov/Archives/edgar/data/1781975/000095017025111051/,https://www.sec.gov/Archives/edgar/data/1781975/000095017025111051/ownership.xml
